Код министерства;Наименование министерства;Наименование раздела сайта с декларациями;Ссылка на раздел сайта с декларациями;Год;Наименование файла с декларациями;Ссылка на файл с декларациями;Формат файла
minzdrav;Министерство здравоохранения РФ;Противодействие коррупции / Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;https://minzdrav.gov.ru/ministry/61/0/materialy-po-deyatelnosti-departamenta/combating_corruption;2019;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера, представленные федеральными государственными гражданскими служащими Министерства здравоохранения Российской Федерации за отчетный период с 1 января 2019 года по 31 декабря 2019 года;https://static-0.minzdrav.gov.ru/system/attachments/attaches/000/051/536/original/%D0%A1%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F_%D0%BE_%D0%B4%D0%BE%D1%85%D0%BE%D0%B4%D0%B0%D1%85_%D0%B3%D0%BE%D1%81%D1%81%D0%BB%D1%83%D0%B6%D0%B0%D1%89%D0%B8%D1%85_%D0%B7%D0%B0_2019_%D0%B3%D0%BE%D0%B4.xlsx?1598267455;xlsx
minzdrav;Министерство здравоохранения РФ;Противодействие коррупции / Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;https://minzdrav.gov.ru/ministry/61/0/materialy-po-deyatelnosti-departamenta/combating_corruption;2018;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера, представленные федеральными государственными гражданскими служащими Министерства здравоохранения Российской Федерации за отчетный период с 1 января 2018 года по 31 декабря 2018 года;https://static-0.minzdrav.gov.ru/system/attachments/attaches/000/045/150/original/%D0%A1%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F_%D0%BE_%D0%B4%D0%BE%D1%85%D0%BE%D0%B4%D0%B0%D1%85_%D0%B3%D0%BE%D1%81%D1%81%D0%BB%D1%83%D0%B6%D0%B0%D1%89%D0%B8%D1%85_%D0%B7%D0%B0_2018.xlsx?1560504940;xlsx
minzdrav;Министерство здравоохранения РФ;Противодействие коррупции / Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;https://minzdrav.gov.ru/ministry/61/0/materialy-po-deyatelnosti-departamenta/combating_corruption;2017;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера, представленные федеральными государственными гражданскими служащими Министерства здравоохранения Российской Федерации за отчетный период с 1 января 2017 года по 31 декабря 2017 года;https://static-0.minzdrav.gov.ru/system/attachments/attaches/000/038/387/original/%D0%A1%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F_%D0%BE_%D0%B4%D0%BE%D1%85%D0%BE%D0%B4%D0%B0%D1%85_%D0%B3%D0%BE%D1%81%D1%81%D0%BB%D1%83%D0%B6%D0%B0%D1%89%D0%B8%D1%85.xlsx?1527087245;xlsx
minzdrav;Министерство здравоохранения РФ;Противодействие коррупции / Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;https://minzdrav.gov.ru/ministry/61/0/materialy-po-deyatelnosti-departamenta/combating_corruption;2016;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера, представленные федеральными государственными гражданскими служащими Министерства здравоохранения Российской Федерации за отчетный период с 1 января 2016 года по 31 декабря 2016 года;https://static-0.minzdrav.gov.ru/system/attachments/attaches/000/034/688/original/%D0%A1%D0%92%D0%95%D0%94%D0%95%D0%9D%D0%98%D0%AF_%D0%9E_%D0%94%D0%9E%D0%A5%D0%9E%D0%94%D0%90%D0%A5_%D0%97%D0%90%D0%9C%D0%95%D0%A1%D0%A2%D0%98%D0%A2%D0%95%D0%9B%D0%95%D0%99_%D0%9C%D0%98%D0%9D%D0%98%D0%A1%D0%A2%D0%A0%D0%90_%D0%97%D0%94%D0%A0%D0%90%D0%92%D0%9E%D0%9E%D0%A5%D0%A0%D0%90%D0%9D%D0%95%D0%9D%D0%98%D0%AF_%D0%A0%D0%9E%D0%A1%D0%A1%D0%98%D0%99%D0%A1%D0%9A%D0%9E%D0%99_%D0%A4%D0%95%D0%94%D0%95%D0%A0%D0%90%D0%A6%D0%98%D0%98__%D0%9F%D0%9E%D0%9C%D0%9E%D0%A9%D0%9D%D0%98%D0%9A%D0%9E%D0%92_%28%D0%A1%D0%9E%D0%92%D0%95%D0%A2%D0%9D%D0%98%D0%9A%D0%9E%D0%92%29_%D0%97%D0%90_2016_%D0%93%D0%9E%D0%94.docx?1495698215;docx
minzdrav;Министерство здравоохранения РФ;Противодействие коррупции / Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;https://minzdrav.gov.ru/ministry/61/0/materialy-po-deyatelnosti-departamenta/combating_corruption;2016;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера, представленные федеральными государственными гражданскими служащими Министерства здравоохранения Российской Федерации за отчетный период с 1 января 2016 года по 31 декабря 2016 года;https://static-0.minzdrav.gov.ru/system/attachments/attaches/000/035/742/original/%D0%A1%D0%92%D0%95%D0%94%D0%95%D0%9D%D0%98%D0%AF_%D0%9E_%D0%94%D0%9E%D0%A5%D0%9E%D0%94%D0%90%D0%A5_%D0%93%D0%A0%D0%90%D0%96%D0%94%D0%90%D0%9D%D0%A1%D0%9A%D0%98%D0%A5_%D0%A1%D0%9B%D0%A3%D0%96%D0%90%D0%A9%D0%98%D0%A5_%D0%9C%D0%98%D0%9D%D0%97%D0%94%D0%A0%D0%90%D0%92%D0%90_%D0%A0%D0%9E%D0%A1%D0%A1%D0%98%D0%98_%D0%97%D0%90_2016_%D0%9E%D0%A2%D0%A7%D0%95%D0%A2%D0%9D%D0%AB%D0%99_%D0%93%D0%9E%D0%94.doc?1504860872;doc
minzdrav;Министерство здравоохранения РФ;Противодействие коррупции / Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;https://minzdrav.gov.ru/ministry/61/0/materialy-po-deyatelnosti-departamenta/combating_corruption;2015;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера, представленные федеральными государственными гражданскими служащими Министерства здравоохранения Российской Федерации, за отчетный период с 1 января 2015 года по 31 декабря 2015 года;https://static-0.minzdrav.gov.ru/system/attachments/attaches/000/030/676/original/%D0%A1%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F_%D0%BE_%D0%B4%D0%BE%D1%85%D0%BE%D0%B4%D0%B0%D1%85_%D1%80%D0%B0%D1%81%D1%85%D0%BE%D0%B4%D0%B0%D1%85_%D0%B3%D1%80%D0%B0%D0%B6%D0%B4%D0%B0%D0%BD%D1%81%D0%BA%D0%B8%D1%85_%D1%81%D0%BB%D1%83%D0%B6%D0%B0%D1%89%D0%B8%D1%85_%D0%9C%D0%B8%D0%BD%D0%B7%D0%B4%D1%80%D0%B0%D0%B2%D0%B0_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B8_%D0%B7%D0%B0_2015_%D0%B3%D0%BE%D0%B4.doc?1466687341;doc
minzdrav;Министерство здравоохранения РФ;Противодействие коррупции / Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;https://minzdrav.gov.ru/ministry/61/0/materialy-po-deyatelnosti-departamenta/combating_corruption;2014;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера гражданского служащего, его супруги (супруга) и несовершеннолетних детей, представленные федеральными государственными гражданскими служащими Министерства здравоохранения Российской Федерации за период с 1 января 2014 года по 31 декабря 2014 года;https://static-0.minzdrav.gov.ru/system/attachments/attaches/000/026/770/original/%D0%A1%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F_%D0%BE_%D0%B4%D0%BE%D1%85%D0%BE%D0%B4%D0%B0%D1%85__%D1%80%D0%B0%D1%81%D1%85%D0%BE%D0%B4%D0%B0%D1%85__%D0%BE%D0%B1_%D0%B8%D0%BC%D1%83%D1%89%D0%B5%D1%81%D1%82%D0%B2%D0%B5_%D0%B8_%D0%BE%D0%B1%D1%8F%D0%B7%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%B0%D1%85_%D0%B8%D0%BC%D1%83%D1%89%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B3%D0%BE_%D1%85%D0%B0%D1%80%D0%B0%D0%BA%D1%82%D0%B5%D1%80%D0%B0_%D0%B3%D0%BE%D1%81%D1%81%D0%BB%D1%83%D0%B6%D0%B0%D1%89%D0%B8%D1%85.doc?1436284715;doc
minzdrav;Министерство здравоохранения РФ;Противодействие коррупции / Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;https://minzdrav.gov.ru/ministry/61/0/materialy-po-deyatelnosti-departamenta/combating_corruption;2013;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера, представленные федеральными государственными гражданскими служащими Министерства здравоохранения Российской Федерации за отчетный период с 1 января 2013 года по 31 декабря 2013 года;https://static-0.minzdrav.gov.ru/system/attachments/attaches/000/024/067/original/%D0%A1%D0%92%D0%95%D0%94%D0%95%D0%9D%D0%98%D0%AF_%D0%9D%D0%90_%D0%A1%D0%90%D0%99%D0%A2_Word_2007_1-1.doc?1425578736;doc
minzdrav;Министерство здравоохранения РФ;Противодействие коррупции / Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;https://minzdrav.gov.ru/ministry/61/0/materialy-po-deyatelnosti-departamenta/combating_corruption;2012;"Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера, представленные федеральными государственными гражданскими служащими Министерства здравоохранения Российской Федерации 
 за отчетный период с 1 января 2012 года по 31 декабря 2012 года";https://static-0.minzdrav.gov.ru/system/attachments/attaches/000/026/057/original/%D0%A1%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F.doc?1431595664;doc
mvd;Министерство внутренних дел РФ;Противодействие коррупции / Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;https://xn--b1aew.xn--p1ai/anticorr/dohod;2019;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера сотрудников органов внутренних дел Российской Федерации, федеральных государственных гражданских служащих системы МВД России и работников организаций, созданных для выполнения задач, поставленных перед МВД России, замещающих должности, назначение на которые и освобождение от которых осуществляется Президентом Российской Федерации, за период с 1 января по 31 декабря 2019 года;https://media.mvd.ru/files/application/1924934;xlsx
